source_label,native_category,visual_category,occurrence_count,workflow_count,workflow_ids,recommended_state,note
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media on model /unsupported electrodes,,model,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; fitting-version-of-the-hierachical-model; transparent-electrodes-for-clsm-applications,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Contact angle extraction of CT data,,method,5,3,contact-angle-extraction-of-ct-data; image-classification-of-x-ray-tomography-data; impregnation-by-immersion-and-blade-coating,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Data extraction from existing PEWE measurements (U-i-t),,method,3,3,data-extraction-from-existing-pewe-measurements-u-i-t; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Data extraction from existing PEWE measurements (U-i-t),method,method,3,3,manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Development of ratiometric fluorescent probes for local pH assessement in alkaline media,,method,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Diffusion coefficients of species,LRE,device,3,3,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Effective size of solvated ions,LRE,device,3,3,density-potential-functional-theory-applied-to-supported-electrocatalysts; hierarchical-model-for-electrocatalytic-reactions; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
EIS on PEWE cells,,method,3,3,eis-on-pewe-cells; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDE electrochemical protocol,component,component,3,3,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; gde-cell-for-electrochemical-studies; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDE electrochemical response,component,component,3,3,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; gde-cell-for-electrochemical-studies; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDE temperature,component,component,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; gde-cell-for-electrochemical-studies,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL in-plane conductivity,component,component,3,3,electrical-conductivity; electrical-tlm-characterization-of-a-gdl-with-defined-compression; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate 3D voxel data wet operando classified,meso,data,3,3,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate breakthrough pressure,component,component,3,3,lab-ct-measurements-on-gdl-or-mpl-materials; synch-ct-measurements-on-gdl-or-mpl-materials; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate effective water permeability,component,component,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; simulation-of-two-phase-3d-apparent-properties,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate pore size distribution,component,component,3,3,hg-porosimetry-gdl; image-x-ray-tomography-data-parameter-extraction-3d; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL through-plane conductivity,component,component,3,3,electrical-conductivity; electrical-contact-resistance; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Impregnation by immersion and blade coating,process,process,3,3,manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Inert substrate,component,component,3,3,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer proton conductivity,material,material,3,3,iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer water sorption properties,component,component,3,3,cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
LRE capacitance (idealized),LRE,device,3,3,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; fitting-version-of-the-hierachical-model; manual-dtu-mod-machine-learning-force-fields,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Mass of Pt in the membrane (aged),component,component,3,3,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Membrane H2 diffusivity,component,component,3,3,cea-mea-model-europium-2d; differential-cell-testing; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Molecular fluorescent probe (acidic),material,material,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; manual-icpees-cnrs-unistra-exp-clsm-acidic-supported-electrodes,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Molecular fluorescent probe (alkaline),material,material,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Monomer concentration in the electrolyte,material,material,3,3,accelerated-stress-test-ast-on-nanostructured-electrodes; eis-on-nanostructured-electrodes; model-electrochemistry-in-a-rde-cell,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL effective water permeability,component,component,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; simulation-of-two-phase-3d-apparent-properties,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL X-ray 3D voxel data raw,meso,data,3,3,ct-based-capillary-pressure-saturation-curves; image-classification-of-x-ray-tomography-data; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL X-ray 3D voxel data wet operando classified,meso,data,3,3,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL X-ray 3D voxel data wet raw,meso,data,3,3,ct-based-capillary-pressure-saturation-curves; image-classification-of-x-ray-tomography-data; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE monocrystalline electrode,material,material,3,3,rde-on-mono-or-polycrystalline-electrodes; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Rheology,,method,3,3,ink-preparation-for-deposition-of-catalytic-layers; rheology; roller-mixer-and-zirconia-beads-for-ref-pefc-inks,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE collection efficiency,device,device,3,3,rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE ring redox couple,material,material,3,3,rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Transparent electrode for CLSM,component,component,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; transparent-electrodes-for-clsm-applications,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Transparent Electrodes for CLSM applications,,method,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; transparent-electrodes-for-clsm-applications,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Turbiscan Transmission and Backscattering stability testing,,method,3,3,ink-preparation-for-deposition-of-catalytic-layers; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; turbiscan-transmission-and-backscattering-stability-testing,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Active phase,LRE,device,2,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate adsorption energies (idealized),LRE,device,2,2,adsorbate-surface-diffusion-on-electrocatalyst-support; dft-onto-idealized-surfaces,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate coverage on electrode (nanostructured),LRE,device,2,2,manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate dipole moments,LRE,device,2,2,dft-onto-idealized-surfaces; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
ATR-FTIR cell temperature,device,device,2,2,in-situ-fourier-transformed-ir-in-atr-configuration; manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
ATR-FTIR electrochemical protocol,component,component,2,2,in-situ-fourier-transformed-ir-in-atr-configuration; manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
ATR-FTIR electrochemical response,component,component,2,2,in-situ-fourier-transformed-ir-in-atr-configuration; manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Binder distribution,component,component,2,2,image-parameter-extraction-2d; modeling-of-hydrophobic-treatment-of-gdl,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Blade coating and Decal transfer for ref PEFC CCM,process,process,2,2,manual-cea-exp-tem-eds-analysis-cl; manual-nel-exp-large-scale-durability-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst pore size distribution,material,material,2,2,iet-ink-to-composition-model; manual-icpees-cnrs-unistra-exp-n2-adsorption-ex-situ,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst support particle diameter,material,material,2,2,image-tem-data-parameter-extraction-3d; sem-and-fib-powder,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cathode EIS,device,device,2,2,iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL 2D TEM images raw,data,other,2,2,manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL cross section,component,component,2,2,microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL cross section 2D pixel data containing surface information of element distributions,meso,data,2,2,image-parameter-extraction-2d; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL effective O2 diffusivity (aged),component,component,2,2,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL effective proton conductivity (aged),component,component,2,2,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ionomer saturation,component,component,2,2,cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ionomer volume fraction (dry),component,component,2,2,cea-mea-model-europium-2d; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ORR effective exchange current density (aged),component,component,2,2,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ORR effective reaction order(s),component,component,2,2,cea-mea-model-europium-2d; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL refined pore size distribution (with contact angle distribution),component,component,2,2,iet-composition-to-property-model; iet-ink-to-composition-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL vaporization rate constant,component,component,2,2,iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCM composition,component,component,2,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CEA MEA model (Europium 2D),model,model,3,2,manual-ciemat-exp-effective-proton-conductivity; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell inlet species concentrations,device,device,2,2,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell Tafel slope,device,device,2,2,data-extraction-from-existing-pewe-measurements-u-i-t; manual-nel-exp-oer-her-catalyst-activity-alkaline,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CLSM electrochemical response (nanostructured),component,component,2,2,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CLSM pH distribution (nanostructured),LRE,device,2,2,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Coordination number and bond distance,LRE,device,2,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Diffusion layer thickness,LRE,device,2,2,diffusion-theory; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrocatalyst structure,material,material,2,2,image-tem-data-parameter-extraction-3d; sem-and-fib-powder,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrolyte flow rate,device,device,2,2,in-situ-fourier-transformed-ir-in-atr-configuration; manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
EXAFS spectra,component,component,2,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
External contact angle of a GDL,,method,2,2,external-contact-angle-of-a-gdl; impregnation-by-immersion-and-blade-coating,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL cross section,component,component,2,2,microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL cross section 2D pixel data containing surface information of element distributions,meso,data,2,2,image-parameter-extraction-2d; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL effective vapor diffusivity,component,component,2,2,diffusivities-from-tortuosities; iet-1d-mea-with-water-transport-eis-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL in-plane permeability,component,component,2,2,gas-permeability-of-a-gdl-with-defined-compression; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL pore size distribution,component,component,2,2,hg-porosimetry-gdl; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate cross section 2D pixel data containing surface information of element distributions,meso,data,2,2,image-parameter-extraction-2d; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate structural parameters,component,component,2,2,image-x-ray-tomography-data-parameter-extraction-3d; neutron-imaging,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL through-plane permeability,component,component,2,2,gas-permeability-of-a-gdl-with-defined-compression; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET 1D Performance model for MEA (prediction),model,model,2,2,manual-ciemat-exp-effective-proton-conductivity; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Instruments for mixing and deposition,process,process,2,2,cl-for-rde; gde-catalytic-layer-preparation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Interaction coefficients between adsorbates,LRE,device,2,2,dft-onto-idealized-surfaces; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer gas diffusivities,component,component,2,2,cea-mea-model-europium-2d; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer gas sorption properties,component,component,2,2,cea-mea-model-europium-2d; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer water diffusivity,component,component,2,2,cea-mea-model-europium-2d; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Local electronic structure,LRE,device,2,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
LRE pH distribution,LRE,device,2,2,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
LRE potential distribution (idealized),LRE,device,2,2,fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
LRE species mobility (idealized),LRE,device,2,2,hierarchical-model-for-electrocatalytic-reactions; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MEA assembly for PEFC ref MEA,process,process,2,2,manual-ciemat-exp-single-cell-polarization-eis; manual-hte-exp-cell-testing,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Membrane thermal conductivity,component,component,2,2,cea-mea-model-europium-2d; fitting-of-the-europium-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Mixing duration,process,process,2,2,ink-preparation-for-deposition-of-catalytic-layers; roller-mixer-and-zirconia-beads-for-ref-pefc-inks,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Mixing speed,process,process,2,2,ink-preparation-for-deposition-of-catalytic-layers; roller-mixer-and-zirconia-beads-for-ref-pefc-inks,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL cross section 2D pixel data containing surface information of element distributions,meso,data,2,2,image-parameter-extraction-2d; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL density,component,component,2,2,image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL saturation maps,meso,data,2,2,image-x-ray-tomography-data-parameter-extraction-3d; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL saturation profiles,macrohomogeneous local,other,2,2,cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Operating PEWE cell,device,device,2,2,additional-measurements-on-pewe-during-operation; eis-on-pewe-cells,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Optimal catalyst loading for XAS signal,component,component,2,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Oxidation state changes,LRE,device,2,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
PEMFC 4-fold Cell Benchtop Test,method,method,2,2,manual-ciemat-exp-effective-proton-conductivity; manual-hte-mod-pemfc-4-fold-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
PEWE Large-Scale Durability Test,method,method,2,2,manual-ciemat-exp-effective-proton-conductivity; manual-nel-exp-large-scale-durability-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
PEWE Single Cell Benchtop Test,method,method,2,2,manual-ciemat-exp-effective-proton-conductivity; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Prism for ATR-FTIR,material,material,2,2,irras-operando-or-in-situ-ftir; prism-preparation-for-atr-ftir,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
PTL porosity,component,component,2,2,manual-nel-exp-ptl-porosity-contact-angle; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ratio of proton conductivity and saturation,component,component,2,2,iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE electrode kinetic parameters,material,material,2,2,rde-simulation-in-comsol; rrde-simulation-in-comsol,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE on nanostructured electrodes,,method,2,2,dropcasted-ink-on-gc-tips; rde-on-nanostructured-electrodes,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE species distribution (idealized),LRE,device,2,2,rde-simulation-in-comsol; rrde-simulation-in-comsol,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Reaction mechanisms (ORR),LRE,device,2,2,fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE ring vs pH calibration curve,material,material,2,2,rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
SEM and FIB (powder),,method,2,2,iet-ink-to-composition-model; sem-and-fib-powder,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
"Single cell test bench: polarization, EIS",method,method,2,2,manual-ciemat-exp-effective-proton-conductivity; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Teflon distribution,component,component,2,2,image-parameter-extraction-2d; modeling-of-hydrophobic-treatment-of-gdl,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Time series of current density,device,device,2,2,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; data-extraction-from-existing-pewe-measurements-u-i-t,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Transfer coefficients of elementary steps,LRE,device,2,2,fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
